,id,title,rating,image_path,overview,vote_count,director,actor,country,release,movie_rating,runtime,genre,description,ott,,,,,,,,,,
2164,364689,Ferdinand,7.2,/rMm94JsRfcOPiPVsTRcBiiVBOhz.jpg,"Ferdinand, a little bull, prefers sitting quietly under a cork tree just smelling the flowers versus jumping around, snorting, and butting heads with other bulls. As Ferdinand grows big and strong, his temperament remains mellow, but one day five men come to choose the ""biggest, fastest, roughest bull"" for the bullfights in Madrid and Ferdinand is mistakenly chosen.  Based on the classic 1936 children's book by Munro Leaf.",2279,Carlos Saldanha,"Jack Gore, Jet Jurgensmeyer, Nile Diaz, Colin H. Murphy, Carlos Saldanha, Jeremy Sisto","United States, Spain",2017,PG,111 min,"Action-Adventure, Animation, Comedy","Ferdinand, a peace-loving bull, rallies a misfit team of friends on the ultimate adventure home.",disney,,,,,,,,,,
2166,365045,Heidi,7.1,/tfgdxGswWZgFUhxIzmqydOsqURj.jpg,"Heidi, is an eight-year-old Swiss orphan who is given by her aunt to her mountain-dwelling grandfather. She is then stolen back by her aunt from her grandfather to live in the wealthy Sesemann household in Frankfurt, Germany as a companion to Klara, a sheltered, disabled girl in a wheelchair. Heidi is unhappy but makes the best of the situation, always longing for her grandfather.",295,Alain Gsponer,"Anuk Steffen, Bruno Ganz, Anna Schinz",,2017,7+,111 min,"Adventure, Drama, Kids","Based on the biggest Swiss bestseller of all time (written by Johanna Spyri), young orphan girl Heidi lives in the Swiss Alps with her goat herding grandfather. Forced to move into the home of an upper-class Frankfurt family, the energetic child struggles to fit in, longing for the simplicity of her life in the mountains.",amazon,,,,,,,,,,
2167,365942,The Space Between Us,7.1,/7qZzPkOoauJz5ImOvBd4XgnKs1B.jpg,A young man raised by scientists on Mars returns to Earth to find his father.,2088,Peter Chelsom,"Gary Oldman, Asa Butterfield, Carla Gugino, Britt Robertson, BD Wong, Janet Montgomery, Trey Tucker",United States,2016,PG-13,120 min,"Action & Adventure, Romantic Movies, Sci-Fi & Fantasy","After years of limited contact with Earth, an inquisitive teen who lives on Mars makes an interplanetary trek to discover his own origins.",netflix,,,,,,,,,,
2168,366668,Playmobil: The Movie,5.7,/zPQzLZnfVw9fbXyxxglyOsmQBlu.jpg,Marla is forced to abandon her carefully structured life to embark on an epic journey to find her younger brother Charlie who has disappeared into the vast and wondrous animated world of Playmobil toys.,197,,,,2019,PG,100 min,"Action, Adventure, Comedy",A young woman travels to the animated world of Playmobil to find her missing brother.,hulu,,,,,,,,,,
2169,367462,68 Kill,5.8,/80ifMmWcNMQ8uD4DTyMFEuJbEJG.jpg,"Chip's problem is that he can't say no to beautiful women. This weakness gets him into a world of trouble when he agrees to help his girlfriend steal $68,000.",83,,,,2017,R,93 min,"Comedy, Crime, Drama",A man in love with his girlfriend goes along with her plan to steal money.,hulu,,,,,,,,,,
2170,367462,68 Kill,5.8,/80ifMmWcNMQ8uD4DTyMFEuJbEJG.jpg,"Chip's problem is that he can't say no to beautiful women. This weakness gets him into a world of trouble when he agrees to help his girlfriend steal $68,000.",83,Trent Haaga,"Matthew Gray Gubler, AnnaLynne McCord, Alisha Boe, Sheila Vand, Sam Eidson, James Moses Black, Ajay Mehta, Michael Beasley, David Maldonado, Hallie Grace Bradley, Peter Jaymes Jr., Eric Podnar, Lucy Faust",United States,2017,R,96 min,"Comedies, Independent Movies, Thrillers",A hapless guy agrees to help his stunning ??but psychotic ??girlfriend rob her loathsome sugar daddy in a scheme as ill-conceived as it is violent.,netflix,,,,,,,,,,
2171,367544,The Spirit of Christmas,7,/ynWcaW8ZrtBeuzgUyEXR30A2TAT.jpg,A woman falls in love with a man who is somewhat unavailable.,244,David Jackson,"Thomas Beaudoin, Kati Salowsky, Steven A. Miller",,2015,PG,91 min,"Comedy, Drama, Romance","12 days before Christmas, Kate is trying to close the sale of a historic inn, only to find Daniel, the ghost of a man who died a century ago, and he needs her help to unravel the mystery of his annual holiday haunting.",amazon,,,,,,,,,,
2172,368182,Compulsion,4.9,/8fPZ50FDA0J3EamkP3g371rewNg.jpg,"Sadie?îa young female novelist?îand an enigmatic woman named Francesca, are enticed by an ex-lover to join him at his Italian villa for a weekend celebration being held to honor the release of Sadie's latest book. Once there, Sadie begins to fear his true intentions as she and Francesca become embroiled in a dangerous game of moral and sexual discovery.",42,√Ångel Gonz√°lez,"Marina Esteve, Paco Manzanedo, Susana Abaitua, Pol Cardona",,2020,16+,79 min,"Drama, Horror, Suspense","A fairytale relationship comes to an end when a shy women suspects that her boyfriend is cheating on her. She follows him and sees him meeting up with another woman. Although devastated, she decides not to tell her boyfriend in order to learn more about his lies. But when she finds out the dark and deadly secret he's been hiding, her life turns into an endless nightmare.",amazon,,,,,,,,,,
2173,368182,Compulsion,4.9,/8fPZ50FDA0J3EamkP3g371rewNg.jpg,"Sadie?îa young female novelist?îand an enigmatic woman named Francesca, are enticed by an ex-lover to join him at his Italian villa for a weekend celebration being held to honor the release of Sadie's latest book. Once there, Sadie begins to fear his true intentions as she and Francesca become embroiled in a dangerous game of moral and sexual discovery.",42,Craig Goodwill,"Analeigh Tipton, Jakob Cedergren, Marta Gastini, Jan Bijvoet, Anita Kravos, Valentin Merlet","United Kingdom, Canada, Italy",2016,TV-MA,84 min,"Dramas, Thrillers","Lured to a majestic, remote villa by an old lover, an erotic novelist finds herself falling for a mysterious woman and descending into a moral abyss.",netflix,,,,,,,,,,
2174,368304,LEGO Marvel Super Heroes: Avengers Reassembled!,6.3,/xUBZNoY7idPfqKZepnDEv7Qc8GC.jpg,The Avengers are forced to ?úparty??with Ultron when he seeks to disassemble the team by taking control of Iron Man?ôs armor and enact a nefarious scheme to take over the world.,83,Rob Silvestri,"Laura Bailey, Troy Baker, Eric Bauza, Ben Diskin, Grant George, JP Karliak, Jim Meskimen, Bumper Robinson, Roger Craig Smith, Fred Tatasciore, Travis Willingham, Mick Wingert",United States,2015,TV-Y7,22 min,Children & Family Movies,"When Ultron seizes control of Iron Man's armor, the Avengers race to save their friend and stop an evil plot to take over the world.",netflix,,,,,,,,,,
2175,368940,Robinson Crusoe,5.8,/sQjlrj2oTnGxbc3yKbYeWlJrhdp.jpg,"On a tiny exotic island, Tuesday, an outgoing parrot lives with his quirky animal friends in paradise. However, Tuesday can't stop dreaming about discovering the world. After a violent storm, Tuesday and his friends wake up to find a strange creature on the beach: Robinson Crusoe. Tuesday immediately views Crusoe as his ticket off the island to explore new lands. Likewise, Crusoe soon realizes that the key to surviving on the island is through the help of Tuesday and the other animals. It isn't always easy at first, as the animals don't speak ""human."" Slowly but surely, they all start living together in harmony, until one day, when their comfortable life is overturned by two savage cats, who wish to take control of the island. A battle ensues between the cats and the group of friends but Crusoe and the animals soon discover the true power of friendship up against all odds (even savage cats).",255,Luis Bu√±uel,,,1954,13+,89 min,Action,"Based on Daniel Defoe's immortal classic, Robinson Crusoe, a 17th century man survives a shipwreck and then must carve out a life for himself on a deserted island.",amazon,,,,,,,,,,
2176,369560,Drunk Parents,4.7,/wwFaM56RH2gZYdPZgnVyVABYedR.jpg,Two drunk parents attempt to hide their ever increasing financial difficulties from their daughter and social circle through elaborate neighborhood schemes.,188,Fred Wolf,"Alec Baldwin, Salma Hayek, Jim Gaffigan, Joe Manganiello, Treat Williams, Ben Platt, Aasif Mandvi, Natalia Cigliuti",United States,2019,R,97 min,Comedies,Two desperate parents go to extreme lengths to hide their dire financial straits from their daughter and friends.,netflix,,,,,,,,,,
2177,369883,Middle School: The Worst Years of My Life,6.9,/3rlcvuGlLETfGCq0aaVD526Emlc.jpg,A quiet teenage artist Rafe Katchadorian has a wild imagination and is sick of middle school and the rules that have been put before him. Rafe and his best friend Leo have come up with a plan: break every rule in the school hand book and as you expect trouble follows.,332,Steve Carr,"Griffin Gluck, Lauren Graham, Rob Riggle, Thomas Barbusca, Andrew Daly, Adam Pally, Retta, Efren Ramirez, Isabela Moner, Alexa Nisenson, Jacob Hopkins","United States, Cambodia",2016,PG,92 min,"Children & Family Movies, Comedies","At Hills Village Middle School, budding cartoonist Rafe and best pal Leo challenge their uptight principal by breaking every rule in his handbook.",netflix,,,,,,,,,,
2179,369894,Wakefield,6.1,/njXzaFVWO4stdbeuyhVg1iaWVS4.jpg,A man's nervous breakdown causes him to leave his wife and live in his attic for several months.,306,Robin Swicord,"Bryan Cranston, Jennifer Garner, Jason O'Mara, Beverly D'Angelo, Ian Anthony Dale, Pippa Bennett-Warner, Isaac Leyva, Victoria Bruno, Ellery Sprayberry, Tracey Walter",United States,2016,R,109 min,Dramas,"An unhappy father and lawyer quits his suburban life and vanishes into the attic above his garage, where he watches his family move on without him.",netflix,,,,,,,,,,
2180,370663,Below Her Mouth,6.8,/nTGbq37hYLuNy7YgMg0gVLma0NS.jpg,An unexpected affair quickly escalates into a heart-stopping reality for two women whose passionate connection changes their lives forever.,920,April Mullen,"Erika Linder, Natalie Krill, Sebastian Pigott, Mayko Nguyen, Tommie-Amber Pirie, Melanie Leishman, Andrea Stefancikova, Daniela Barbosa",Canada,2016,TV-MA,91 min,"Dramas, Independent Movies, International Movies",An engaged fashion editor begins a torrid affair with a female roofer that threatens to turn both of their lives upside down.,netflix,,,,,,,,,,
2181,370765,Jessica Darling's It List,5.9,/jBKr84871j6gA7Hylliu9nntMO7.jpg,"Jessica Darling ??a smart, witty, opinionated girl heading into 7th grade ??was never too concerned about where she'd fit in the middle school hierarchy. But before her first day of school, her older sister ??the super popular Bethany, now in college?îdecides to help out by giving her the ?úIt List?ù‚Äîa cheat sheet on how to navigate the middle school maze and rise to the top of the popularity chain. The instructions appear simple enough to follow, but, like life, nothing is as easy as it seems.",116,Ali Scher,"Chloe East, Emma Rayne Lyle, Jane Widdop, Jane Sibbett, Eric Lutes, Blair Fowler, Ashley Liao, Eva Bella, Kimrie Lewis-Davis, Abraham Benrubi",United States,2016,TV-Y,80 min,"Children & Family Movies, Comedies","Armed with popularity tips from her beautiful older sister, precocious Jessica Darling prepares to navigate the treacherous world of seventh grade.",netflix,,,,,,,,,,
2182,371608,The Strangers: Prey at Night,5.6,/vdxLpPsZkPZdFrREp7eSeSzcimj.jpg,"A family?ôs road trip takes a dangerous turn when they arrive at a secluded mobile home park to stay with some relatives and find it mysteriously deserted. Under the cover of darkness, three masked killers pay them a visit to test the family?ôs every limit as they struggle to survive.",1040,Johannes Roberts,"Bailee Madison, Martin Henderson, Emma Bellomy, Lea Enslin, Damian Maffei, Christina Hendricks, Lewis Pullman","United States, United Kingdom",2018,R,85 min,Horror Movies,Home-invasion horror comes to the trailer park when a family arrives at a mobile home community to find nobody there but a trio of masked murderers.,netflix,,,,,,,,,,
2183,371638,The Disaster Artist,7.1,/jj84nF5vYRD0HUTowBKcrKk8hZP.jpg,"An aspiring actor in Hollywood meets an enigmatic stranger by the name of Tommy Wiseau, the meeting leads the actor down a path nobody could have predicted; creating the worst movie ever made.",2938,James Franco,"James Franco, Dave Franco, Seth Rogen, Josh Hutcherson, Ari Graynor, Alison Brie, Jacki Weaver, Zac Efron, Hannibal Buress, Jason Mantzoukas, Nathan Fielder, Paul Scheer, Megan Mullally, Sharon Stone, Tommy Wiseau",United States,2017,R,104 min,"Comedies, Dramas","Aspiring actor Greg moves to Los Angeles with his strange friend Tommy, then agrees to star in his movie. Things start weird and get a lot weirder.",netflix,,,,,,,,,,
2184,371645,Hunt for the Wilderpeople,7.7,/skQqcMa1nSt7aqRRJiSy44KGSC1.jpg,"Ricky is a defiant young city kid who finds himself on the run with his cantankerous foster uncle in the wild New Zealand bush. A national manhunt ensues, and the two are forced to put aside their differences and work together to survive.",1523,Taika Waititi,"Sam Neill, Julian Dennison, Rima Te Wiata, Rachel House, Tioreore Ngatai-Melbourne, Oscar Kightley, Stan Walker, Mike Minogue, Cohen Holloway, Rhys Darby",New Zealand,2016,PG-13,101 min,"Action & Adventure, Comedies, Dramas",A misadventure in the wilderness leads to life-changing discoveries for a troubled orphan teen from the city and his belligerent foster father.,netflix,,,,,,,,,,
2185,371645,Hunt for the Wilderpeople,7.7,/skQqcMa1nSt7aqRRJiSy44KGSC1.jpg,"Ricky is a defiant young city kid who finds himself on the run with his cantankerous foster uncle in the wild New Zealand bush. A national manhunt ensues, and the two are forced to put aside their differences and work together to survive.",1523,,,New Zealand,2016,PG-13,101 min,"Adventure, Comedy, Drama","Raised on hip-hop and foster care, defiant city kid Ricky gets a fresh start in the New Zealand countryside. He quickly finds himself at home with his new foster family: the loving Aunt Bella, the cantankerous Uncle Hec, and dog Tupac. When a tragedy strikes that threatens to ship Ricky to another home, both he and Hec go on the run in the bush. As a national manhunt ensues, the newly branded outlaws must face their options: go out in a blaze of glory or overcome their differences and survive as a family. Equal parts road comedy and rousing adventure story, director Taika Waititi (WHAT WE DO IN THE SHADOWS, upcoming THOR: RAGNORAK) masterfully weaves lively humor with emotionally honest performances by Sam Neill and Julian Dennison....",hulu,,,,,,,,,,
2186,373476,Complete Unknown,5.1,/bM2XMJz2C2GZ17urCv8WYD7tsuJ.jpg,"Tom?ôs birthday dinner party is turned upside down by the unexpected arrival of Alice, an old flame who changed her identity and vanished without a trace 15 years prior.",125,Joshua Marston,"Rachel Weisz, Michael Shannon, Danny Glover, Kathy Bates",,2016,R,92 min,"Drama, Suspense","A mysterious woman with a remarkable past revisits a former lover, complicating the settled life he has built for himself and his wife in Complete Unknown, an unsettling exploration of identity from acclaimed filmmaker Joshua Marston (Maria Full of Grace, The Forgiveness of Blood).",amazon,,,,,,,,,,
2187,374464,Planetarium,4.6,/cuwYVBOxIGwXAJH89yHnkqe3SbV.jpg,"In 1930s France, two sisters who are thought to be able to communicate with ghosts meet a visionary producer while performing in Paris.",163,Rebecca Zlotowski,"Natalie Portman, Lily-Rose Depp, Emmanuel Salinger, Amira Casar, Pierre Salvadori, Louis Garrel","France, Belgium",2016,TV-MA,108 min,"Dramas, International Movies","In pre-World War II France, two sisters purport to be able to communicate with the dead and soon catch the eye of an ambitious filmmaker.",netflix,,,,,,,,,,
2188,374473,"I, Daniel Blake",7.8,/nu3WVABXz2W85N6JXTZOT1aWS3b.jpg,"A middle aged carpenter, who requires state welfare after injuring himself, is joined by a single mother in a similar scenario.",1075,Ken Loach,"Dave Johns, Hayley Squires, Briana Shann, Dylan McKiernan, Kate Rutter, Sharon Percy, Kema Sikazwe, Steven Richens","United Kingdom, France, Belgium",2016,R,100 min,"Dramas, Independent Movies","While fighting for his welfare benefits following a job-ending heart attack, a widowed carpenter befriends a single mother in a similar plight.",netflix,,,,,,,,,,
2189,375107,Duck Duck Goose,6.2,/7XURM64DYa9DpS70I2rM4suvq1s.jpg,"After he?ôs grounded by an injury, a high-flying bachelor is saddled with two wide-eyed orphans as they come face-to-face with the dangers and beauty of the outside world.",116,Chris Jenkins,"Jim Gaffigan, Zendaya, Lance Lim, Greg Proops, Reggie Watts, Carl Reiner, Jennifer Grey, Stephen Fry, Diedrich Bader, Natasha Leggero, Craig Ferguson, Rick Overton","China, United States, United Kingdom",2018,PG,92 min,"Children & Family Movies, Comedies","As his flock's annual migration nears, a carefree goose is grounded with an injury and takes a pair of lost ducklings under his wing.",netflix,,,,,,,,,,
2190,375183,A Family Man,6.7,/hCUrI8v523NQDJNKoDxGq2nvbvw.jpg,"Dane Jensen is a driven, Chicago-based headhunter, working at a cut-throat job placement firm. When Dane's boss announces his retirement, he pits Dane against Lynn Vogel, Dane's equally driven but polar-opposite rival at the firm, in a battle for control over the company.",400,Mark Williams,"Gerard Butler, Gretchen Mol, Alison Brie, Willem Dafoe, Alfred Molina, Maxwell Jenkins, Anupam Kher, Dustin Milligan","Canada, United States",2016,R,110 min,Dramas,A ruthless corporate headhunter battles his rival for a promotion while dealing with a family crisis that threatens to derail his career.,netflix,,,,,,,,,,
2191,375183,A Family Man,6.7,/hCUrI8v523NQDJNKoDxGq2nvbvw.jpg,"Dane Jensen is a driven, Chicago-based headhunter, working at a cut-throat job placement firm. When Dane's boss announces his retirement, he pits Dane against Lynn Vogel, Dane's equally driven but polar-opposite rival at the firm, in a battle for control over the company.",400,Mark Williams,"Gerard Butler, Gretchen Mol, Alison Brie, Willem Dafoe, Alfred Molina","United States, Canada",2017,R,110 min,Drama,"Dane Jensen (Gerard Butler) is a hard-driven headhunter working at a cut-throat firm. When Dane's boss (Willem Dafoe) pits him against Lynn Vogel (Alison Brie), Dane gears up for the professional battle of his life. When his son Ryan is given a harrowing diagnosis, Dane is suddenly pulled between achieving his professional dream and spending time with his family, who need him now more than ever.",amazon,,,,,,,,,,
2192,375588,Robin Hood,5.9,/AiRfixFcfTkNbn2A73qVJPlpkUo.jpg,A war-hardened Crusader and his Moorish commander mount an audacious revolt against the corrupt English crown.,2393,Wolfgang Reitherman,"Roger Miller, Peter Ustinov, Terry-Thomas , Brian Bedford, Monica Evans, Phil Harris",United States,1973,G,85 min,"Action-Adventure, Animation, Family",Disney's animated classic tale of England's legendary hero.,disney,,,,,,,,,,
2193,375785,Then Came You,7.6,/9hIA3dgyOWj1MLXYrJ7SZ6lckM9.jpg,An American hypochondriac who is working as a baggage handler is forced to confront his fears when a British teenager with a terminal illness enlists him to help her carry out her eccentric bucket list.,357,Peter Hutchings,"Asa Butterfield, Maisie Williams, Nina Dobrev, Ken Jeong, Tyler Hoechlin, David Koechner, Peyton List, Tituss Burgess",United States,2019,TV-MA,97 min,"Comedies, Dramas, Independent Movies",A hypochondriac confronts his fear of death when a terminally ill teen girl enlists him to help her complete her bucket list.,netflix,,,,,,,,,,
2194,375785,Then Came You,7.6,/9hIA3dgyOWj1MLXYrJ7SZ6lckM9.jpg,An American hypochondriac who is working as a baggage handler is forced to confront his fears when a British teenager with a terminal illness enlists him to help her carry out her eccentric bucket list.,357,,,,2020,PG-13,98 min,"Comedy, Romance","A lonely widow plans a trip around the world with her husband's ashes, to visit the places they loved in the movies. The first stop on the journey changes her life forever.",hulu,,,,,,,,,,
2195,376134,The Discovery,6.3,/nLIDouFvreSrs8xK62zuvpEPDw0.jpg,"In the near future, due to a breakthrough scientific discovery by Dr. Thomas Harbor, there is now definitive proof of an afterlife. While countless people have chosen suicide to reset their existence, others try to decide what it all means. Among them is Dr. Harbor's son Will, who has arrived at his father's isolated compound with a mysterious young woman named Isla. There, they discover the strange acolytes who help Dr. Harbor with his experiments.",1025,Charlie McDowell,"Jason Segel, Rooney Mara, Robert Redford, Riley Keough, Jesse Plemons, Ron Canada",United States,2017,TV-MA,102 min,"Dramas, Independent Movies, Romantic Movies","A scientist whose proof of an afterlife caused a rash of suicides forges ahead with his research, while his disapproving son falls for a troubled woman.",netflix,,,,,,,,,,
2196,376233,"Life, Animated",7.7,/dAbgluMr621IDx0fvyzVOYtAhEX.jpg,"At three years old, a chatty, energetic little boy named Owen Suskind ceased to speak, disappearing into autism with apparently no way out. Almost four years passed and the only stimuli that engaged Owen were Disney films. Then one day, his father donned a puppet?îIago, the wisecracking parrot from Aladdin?îand asked ?úwhat?ôs it like to be you???And poof! Owen replied, with dialogue from the movie. Life, Animated tells the remarkable story of how Owen found in Disney animation a pathway to language and a framework for making sense of the world.",112,,,United States,2016,PG,92 min,Documentaries,"From Academy Award¬Æ winning director Roger Ross Williams comes the story of Owen Suskind, a young man who couldn?ôt speak as a child until he discovered a unique way to communicate by immersing himself in the world of Disney animated films.",hulu,,,,,,,,,,
2197,376290,Miss Sloane,7.5,/ptfvQlqe2xJiMSewSj52qAVq5z0.jpg,An ambitious lobbyist faces off against the powerful gun lobby in an attempt to pass gun control legislation.,1381,John Madden,"Jessica Chastain, Mark Strong, Gugu Mbatha-Raw, Michael Stuhlbarg, Raoul Bhaneja, John Lithgow, Sam Waterston, Chuck Shamata, Jake Lacy, Alison Pill, David Wilson Barnes","France, United States, United Kingdom, Canada",2016,R,132 min,Thrillers,A tenacious Capitol Hill lobbyist with a well-earned reputation for winning takes on the most challenging battle of her career.,netflix,,,,,,,,,,
2198,376570,Hush,6.7,/unJ1muRB1oeHO3KaVnfHJVkCd2U.jpg,A deaf woman is stalked by a psychotic killer in her secluded home.,3653,Mike Flanagan,"John Gallagher Jr., Kate Siegel, Michael Trucco, Samantha Sloyan, Emma Graves",United States,2016,R,82 min,"Horror Movies, Thrillers",A deaf writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears in her window.,netflix,,,,,,,,,,
2199,376581,Amateur Night,5.6,/dzJFu1F0miZKHbR7tRIX6cQcI8c.jpg,"Guy Carter, an insecure expectant father unable to find work in his field, accepts a job driving hookers around Los Angeles. One long and crazy evening proves to our hero that he is, in fact, up to the task of fatherhood.",150,"Lisa Addario, Joe Syracuse","Jason Biggs, Ashley Tisdale, Janet Montgomery, Bria Murphy, Jenny Mollen",,2014,16+,89 min,Comedy,"Unemployed expectant dad Guy Carter (Jason Biggs) accepts a job as a chauffeur to 3 prostitutes (Ashley Tisdale, Janet Montgomery, Bria Murphy) and over the course of one wild night, discovers he may have the right stuff for fatherhood after all.",amazon,,,,,,,,,,
2200,376660,The Edge of Seventeen,7.2,/iY5UEYuGxHfaYJ3vAUAWwFGMV7V.jpg,"Two high school girls are best friends until one dates the other's older brother, who is totally his sister's nemesis.",3350,Kelly Fremon Craig,"Hailee Steinfeld, Woody Harrelson, Kyra Sedgwick, Haley Lu Richardson, Blake Jenner, Hayden Szeto, Alexander Calvert, Eric Keenleyside","United States, China",2016,R,105 min,"Comedies, Dramas",A troubled teenager finds high school life even less bearable after she catches her childhood best friend hooking up with her popular older brother.,netflix,,,,,,,,,,
2201,376867,Moonlight,7.4,/gCpwdvV4Xw9fP9RSWu1Fr8MzsLi.jpg,"The tender, heartbreaking story of a young man?ôs struggle to find himself, told across three defining chapters in his life as he experiences the ecstasy, pain, and beauty of falling in love, while grappling with his own sexuality.",5876,Barry Jenkins,"Trevante Rhodes, Andr√© Holland, Janelle Mon√°e, Ashton Sanders, Jharrel Jerome, Alex Hibbert, Jaden Piner, Naomie Harris, Mahershala Ali",United States,2016,R,111 min,"Dramas, Independent Movies, LGBTQ Movies","In a crime-infested Miami neighborhood, a gay African-American boy with a drug-addicted mother grows up with the help of a mentoring drug dealer.",netflix,,,,,,,,,,
2203,377897,Barbie: Spy Squad,7,/uxdvJHE5V844dTlK2EmqRQCTYDb.jpg,"Barbie and her best friends Teresa and Renee transform from hard-working gymnasts to undercover secret agents. When their amazing gymnastics skills catch the eye of a top-secret spy agency, the girls are soon following clues to a gem-stealing cat burglar, using high-tech gadgets, glam disguises and cute robo-pets to save the day.",293,Conrad Helten,"Erica Lindbeck, Stephanie Sheh, Jenny Pellicer, Alyssya Swales, Elizabeth Irving, Brian Dobson, Rebecca Husain, Cathy Weseluck","United States, Canada",2016,TV-Y,75 min,Children & Family Movies,"A high-tech spy agency transforms Barbie and her best friends into secret agents, using their gymnastics skills to bring down a cunning cat burglar.",netflix,,,,,,,,,,
2204,379149,The Foreigner,6.8,/rwM4hzrmc5HiWfQD9ls9DL4QgGl.jpg,Quan is a humble London businessman whose long-buried past erupts in a revenge-fueled vendetta when the only person left for him to love ??his teenage daughter ??dies in an Irish Republican Army car bombing. His relentless search to find the terrorists leads to a cat-and-mouse conflict with a British government official whose own past may hold the clues to the identities of the elusive killers.,1838,Martin Campbell,"Pierce Brosnan, Katie Leung, Manolo Cardona, Charlie Murphy, Pippa Bennett-Warner, Rufus Jones, Dermot Crowley, Jackie Chan, Simon Kunz, Rory Fleck Byrne, Liu Tao, Michael McElhatton, Orla Brady, David Pearse","United Kingdom, China, United States, India",2017,R,113 min,"Action & Adventure, International Movies","After his daughter is killed by terrorists, a sullen restaurateur seeks the identities of those responsible and travels to Ireland to take vengeance.",netflix,,,,,,,,,,
2205,381284,Hidden Figures,8.1,/9lfz2W2uGjyow3am00rsPJ8iOyq.jpg,"The untold story of Katherine G. Johnson, Dorothy Vaughan and Mary Jackson ??brilliant African-American women working at NASA and serving as the brains behind one of the greatest operations in history ??the launch of astronaut John Glenn into orbit. The visionary trio crossed all gender and race lines to inspire generations to dream big.",7377,Theodore Melfi,"Taraji Henson, Octavia Spencer, Janelle Mon√°e, Kevin Costner, Kirsten Dunst, Jim Parsons",United States,2016,PG,128 min,"Biographical, Drama, Family",A story about three women at NASA who helped launch John Glenn into orbit.,disney,,,,,,,,,,
2206,381693,Kung Fu Panda: Secrets of the Scroll,6.8,/giZ4VFIG1DVeHUcJKCbtcRLM43b.jpg,"As Po looks for his lost action figures, the story of how the panda inadvertently helped create the Furious Five is told.",146,Rodolphe Guenoden,"Jack Black, Dustin Hoffman, Seth Rogen, David Cross, Lucy Liu, Tara Macri, James Hong, Randall Duk Kim",United States,2016,TV-PG,23 min,"Children & Family Movies, Comedies","When a twist of fate brings five unlikely animals together, they find that combining their unique kung fu styles as a team makes the perfect weapon!",netflix,,,,,,,,,,
2207,381696,Shrek the Musical,7.2,/k3uIgE9obtdQnshufhzQlLKZW1Z.jpg,Shrek The Musical is a musical with music by Jeanine Tesori and book and lyrics by David Lindsay-Abaire. It is based on the 2001 DreamWorks Animation's film Shrek and William Steig's 1990 book Shrek! It was nominated for 8 Tony Awards including Best Musical.,73,Jason Moore,"Brian d'Arcy James, Daniel Breaker, Sutton Foster, Christopher Sieber, John Tartaglia, Rozi Baker, Ryan Duncan, Leah Greenhaus, Chris Hoch, Marissa O'Donnell, Denny Paschall",United States,2013,TV-G,130 min,"Children & Family Movies, Comedies, Music & Musicals","The greatest fairy tale never told comes to life in this colorful, song-filled, Tony Award-winning Broadway production based on the hit movie.",netflix,,,,,,,,,,
2208,381719,Peter Rabbit,6.7,/2yjSvEDuM3rLDng40erLsWkQRfn.jpg,Peter Rabbit's feud with Mr. McGregor escalates to greater heights than ever before as they rival for the affections of the warm-hearted animal lover who lives next door.,1355,Will Gluck,"James Corden, Domhnall Gleeson, Rose Byrne, Margot Robbie, Daisy Ridley, Elizabeth Debicki, Vauxhall Jermaine, Marianne Jean-Baptiste, Sia, Colin Moody","United States, Australia",2018,PG,95 min,"Children & Family Movies, Comedies","In this mix of live action and CGI, rascally Peter Rabbit faces a tough new foe in his ongoing battle for the veggies in Mr. McGregor's garden.",netflix,,,,,,,,,,
2209,382322,Batman: The Killing Joke,6.6,/nxncAAL1FUKtQWs4uhs5jf1MVut.jpg,"As Batman hunts for the escaped Joker, the Clown Prince of Crime attacks the Gordon family to prove a diabolical point mirroring his own fall into madness.",1372,Sam Liu,"Kevin Conroy, Mark Hamill, Tara Strong, Ray Wise, John DiMaggio, Robin Atkin Downes, Brian George, JP Karliak, Andrew Kishino, Nolan North",United States,2016,R,77 min,Action & Adventure,The Joker makes life hell for the Gordon family in a monstrous attempt to prove to Batman that one bad day can drive a good man to madness.,netflix,,,,,,,,,,
2210,382399,High Strung,7.1,/eFbSZvnx2ECc9hGUdbBXfx3704L.jpg,"When a hip hop violinist busking in the New York subway encounters a classical dancer on scholarship at the Manhattan Conservatory of the Arts, sparks fly. With the help of a hip hop dance crew they must find a common ground while preparing for a competition that could change their lives forever.",823,,,"Romania, United States",2016,PG,96 min,"Drama, Music","When a Midwest dancer and a street-wise British musician meet in New York, they immediately clash but there?ôs an undeniable attraction as well. The two must navigate their differences for a competition that will change their lives forever.",hulu,,,,,,,,,,
2211,382399,High Strung,7.1,/eFbSZvnx2ECc9hGUdbBXfx3704L.jpg,"When a hip hop violinist busking in the New York subway encounters a classical dancer on scholarship at the Manhattan Conservatory of the Arts, sparks fly. With the help of a hip hop dance crew they must find a common ground while preparing for a competition that could change their lives forever.",823,Michael Damian,"Keenan Kampa, Nicholas Galitzine, Jane Seymour, Sonoya Mizuno, Paul Freeman, Dave Scott",,2016,13+,96 min,Drama,"When a Midwest dancer and a street-wise British musician meet in New York, they immediately clash but there's an undeniable attraction as well. The two must navigate their differences for a competition that will change their lives forever.",amazon,,,,,,,,,,
